5;Marítima;142;6;0;56,15;3;3,4;;;;;0,9922;1,1256;Hagedorn & Brown
6;Marítima;100,2;6;0;37,86;3;3,4;;;;;0,9922;1,1256;Hagedorn & Brown
7;Marítima;81,4;6;0;13,54;2;3,4;;;;;0,9922;1,1256;Beggs, Brill & Palmer
8;Marítima;464,5;6;0;1,36;10;3,4;;;;;0,9922;1,1256;Beggs, Brill & Palmer
9;Marítima;1.055,90;6;0;1,36;20;3,4;;;;;0,9922;1,1256;Beggs, Brill & Palmer
10;Marítima;0,1;6;0;1,36;1;3,4;;0;;;0,9922;1,1256;Beggs, Brill & Palmer
11;BCS;0;--;--;0;1;3,4;;;;;--;--;--
12;Marítima;210;6;0;1,36;5;3,4;;;;;0,9922;1,1256;Beggs, Brill & Palmer
13;Poço c/ col;47,6;3,958;9,66;89,69;1;5,4;;;;;0,9922;1,1256;Hagedorn & Brown
14;Poço c/ col;619,1;6,276;9,66;86,94;13;30,8;;;;;0,9922;1,1256;Hagedorn & Brown
15;Poço c/ col;37,3;4,892;9,66;84,6;1;32,3;;;;;0,9922;1,1256;Hagedorn & Brown
16;Poço c/ col;387,7;6,276;9,66;81,12;8;48,1;;;;;0,9922;1,1256;Hagedorn & Brown
17;Poço c/ col;81,4;6,276;9,66;65,9;2;51,2;;;;;0,9922;1,1256;Hagedorn & Brown
18;Poço c/ col;37,2;3,958;9,66;59,65;3;52,5;;;;;0,9922;1,1256;Hagedorn & Brown
19;Poço c/ col;137;6,276;9,66;49,8;6;56,8;;;;;0,9922;1,1256;Hagedorn & Brown
20;Poço c/ col;31,1;3,958;9,66;43,26;3;57,6;;;;;0,9922;1,1256;Hagedorn & Brown
21;Poço c/ col;43;3,958;9,66;39,66;3;58,7;;;;;0,9922;1,1256;Hagedorn & Brown
22;Poço c/ col;191,2;6,276;9,66;24,57;4;62,1;;;;;0,9922;1,1256;Hagedorn & Brown
23;Poço c/ col;58,1;4,892;9,66;11,3;2;62,5;;;;;0,9922;1,1256;Beggs, Brill & Palmer
24;Poço s/ col;201,2;4,892;4,892;4,26;5;63,2;;;;;0,9922;1,1256;Beggs, Brill & Palmer
"Obs: ""Ângulo"" é o menor ângulo c/ a horizontal, positivo se escoamento for ascendente.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
DE INJEÇÃO (de montante [compressor] para jusante [árvore]):;;;;;;;;;;;;;;
;;Comprim;Diâm;Ângulo;Número;T.Mon;Fator de;Fator de;;;;;;
UN;Natureza;Medido;Tubo;c/Horiz;Trechos;Amb;Correção;Correção;Correlação;;;;;
;;[m];[in];[graus];;[°C];[dPdL];[dPdT];;;;;;
1;Linha Aérea;29,6;4;-90;1;25;1;1;Cálculo Monofásico;;;;;
2;Linha Marítima;540,6;4;-81,58;11;25;1;1;Cálculo Monofásico;;;;;
3;Linha Marítima;339,8;4;-76,53;7;8,8;1;1;Cálculo Monofásico;;;;;
4;Linha Marítima;216,3;4;-68,54;5;4,7;1;1;Cálculo Monofásico;;;;;
5;Linha Marítima;142;4;-56,15;3;3,5;1;1;Cálculo Monofásico;;;;;
6;Linha Marítima;100,2;4;-37,86;3;3,4;1;1;Cálculo Monofásico;;;;;
7;Linha Marítima;81,4;4;-13,54;2;3,4;1;1;Cálculo Monofásico;;;;;
8;Linha Marítima;464,5;4;-1,36;10;3,4;1;1;Cálculo Monofásico;;;;;
9;Linha Marítima;1.055,90;4;-1,36;20;3,4;1;1;Cálculo Monofásico;;;;;
10;Linha Marítima;210,1;4;-1,36;5;3,4;1;1;Cálculo Monofásico;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Dados de Análise de Sensibilidade;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Freq. Motor [1];Pjus [1];QOstd;QL;Twh;Pwh;DeltaP;Psuc;;;;;;;
[Hz];[kgf/cm²];[m³/d];[m³/d];[°C];[kgf/cm²];[kgf/cm²];[kgf/cm²];;;;;;;
40;10;321,4;3.058,40;75,1;152,18;63,72;88,46;;;;;;;
40;12;313,3;2.981,00;75,1;154,56;65,48;89,08;;;;;;;
40;14;305,2;2.903,60;75;156,85;67,16;89,69;;;;;;;
40;16;297,7;2.832,10;74,9;158,88;68,65;90,23;;;;;;;
40;18;290,7;2.765,90;74,9;160,7;69,97;90,73;;;;;;;
40;20;283,7;2.699,40;74,8;162,45;71,23;91,22;;;;;;;
40;22;275,7;2.623,60;74,7;164,37;72,6;91,77;;;;;;;
40;24;266,8;2.538,80;74,6;166,43;74,06;92,37;;;;;;;
40;26;257,6;2.451,40;74,5;168,45;75,48;92,97;;;;;;;
40;28;248,3;2.362,60;74,4;170,42;76,84;93,58;;;;;;;
40;30;238,8;2.272,40;74,3;172,34;78,17;94,17;;;;;;;
40;32;228,7;2.176,50;74,2;174,3;79,51;94,79;;;;;;;
40;34;218,3;2.077,00;74;176,25;80,82;95,43;;;;;;;
40;36;207,7;1.975,90;73,9;178,13;82,09;96,04;;;;;;;
40;38;196,6;1.870,90;73,7;180,01;83,33;96,68;;;;;;;
40;40;185;1.760,30;73,5;181,87;84,56;97,31;;;;;;;
40;42;172,7;1.643,30;73,2;183,75;85,77;97,98;;;;;;;
40;44;159,5;1.518,00;72,9;185,63;86,98;98,65;;;;;;;
40;46;145,3;1.382,70;72,5;187,52;88,19;99,33;;;;;;;
40;48;129,9;1.235,80;71,9;189,45;89,39;100,06;;;;;;;
40;50;112,7;1.072,20;71,1;191,44;90,62;100,82;;;;;;;
40;52;93;884,5;69,9;193,54;91,93;101,61;;;;;;;
40;54;68,8;654,2;67,5;195,89;93,42;102,47;;;;;;;
40;56;29,1;277,1;57,3;199,35;95,97;103,38;;;;;;;
40;58;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;;;;;;;
40;60;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;;;;;;;
40;62;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;;;;;;;
40;64;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;;;;;;;
40;66;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;;;;;;;
40;68;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;;;;;;;
40;70;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;;;;;;;
41;10;334,6;3.184,00;75,2;153,24;65,79;87,45;;;;;;;
41;12;327;3.111,80;75,2;155,56;67,52;88,04;;;;;;;
41;14;319,4;3.038,60;75,1;157,84;69,21;88,63;;;;;;;
41;16;312,8;2.975,80;75;159,73;70,61;89,12;;;;;;;
41;18;306,2;2.913,70;75;161,54;71,94;89,6;;;;;;;
41;20;299,8;2.852,20;74,9;163,28;73,2;90,08;;;;;;;
41;22;292,3;2.780,80;74,9;165,22;74,6;90,62;;;;;;;
41;24;284;2.702,50;74,8;167,27;76,06;91,21;;;;;;;
41;26;275,5;2.621,60;74,7;169,29;77,5;91,79;;;;;;;
41;28;266,9;2.539,60;74,6;171,25;78,88;92,37;;;;;;;
41;30;258,2;2.456,40;74,6;173,16;80,22;92,94;;;;;;;
41;32;248,9;2.368,40;74,4;175,11;81,57;93,54;;;;;;;
41;34;239,4;2.277,40;74,3;177,04;82,9;94,14;;;;;;;
41;36;229,7;2.185,80;74,2;178,91;84,17;94,74;;;;;;;
41;38;219,8;2.091,20;74,1;180,76;85,43;95,33;;;;;;;
41;40;209,5;1.992,90;73,9;182,61;86,66;95,95;;;;;;;
41;42;198,6;1.890,00;73,7;184,45;87,89;96,56;;;;;;;
41;44;187,3;1.782,10;73,5;186,29;89,1;97,19;;;;;;;
41;46;175,3;1.667,80;73,3;188,14;90,3;97,84;;;;;;;
41;48;162,5;1.546,00;72,9;189,99;91,49;98,5;;;;;;;
41;50;148,8;1.415,50;72,6;191,86;92,68;99,18;;;;;;;
41;52;133,8;1.273,50;72,1;193,75;93,87;99,88;;;;;;;
41;54;117,5;1.117,60;71,4;195,69;95,08;100,61;;;;;;;
41;56;99;941,8;70,3;197,72;96,34;101,38;;;;;;;
41;58;77,1;733,7;68,5;199,93;97,74;102,19;;;;;;;
41;60;47,9;456;63,9;202,61;99,56;103,05;;;;;;;
41;62;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;;;;;;;
41;64;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;;;;;;;
41;66;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;;;;;;;
41;68;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;;;;;;;
41;70;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;;;;;;;
42;10;347,8;3.309,20;75,3;154,27;67,86;86,41;;;;;;;
42;12;340,5;3.239,40;75,2;156,61;69,62;86,99;;;;;;;
42;14;333,5;3.173,30;75,2;158,77;71,24;87,53;;;;;;;
42;16;327,5;3.115,90;75,2;160,6;72,59;88,01;;;;;;;
42;18;321,4;3.057,60;75,1;162,4;73,92;88,48;;;;;;;
42;20;315,3;3.000,00;75,1;164,12;75,19;88,93;;;;;;;
42;22;308,2;2.932,30;75;166,09;76,63;89,46;;;;;;;
42;24;300,5;2.859,20;74,9;168,13;78,11;90,02;;;;;;;
42;26;292,6;2.784,00;74,9;170,15;79,55;90,6;;;;;;;
42;28;284,6;2.708,10;74,8;172,11;80,95;91,16;;;;;;;
42;30;276,5;2.631,20;74,7;174,02;82,3;91,72;;;;;;;
42;32;268;2.549,80;74,7;175,96;83,66;92,3;;;;;;;
42;34;259,2;2.466,00;74,6;177,88;85;92,88;;;;;;;
42;36;250,3;2.381,80;74,5;179,74;86,29;93,45;;;;;;;
42;38;241,2;2.295,40;74,4;181,58;87,55;94,03;;;;;;;
42;40;231,9;2.206,10;74,2;183,41;88,8;94,61;;;;;;;
42;42;222,1;2.113,60;74,1;185,23;90,04;95,19;;;;;;;
42;44;212;2.017,50;73,9;187,05;91,26;95,79;;;;;;;
42;46;201,5;1.917,00;73,8;188,87;92,47;96,4;;;;;;;
42;48;190,4;1.811,70;73,6;190,69;93,67;97,02;;;;;;;
42;50;178,7;1.700,50;73,3;192,51;94,85;97,66;;;;;;;
42;52;166,3;1.582,60;73;194,33;96,03;98,3;;;;;;;
42;54;153,1;1.456,30;72,7;196,18;97,21;98,97;;;;;;;
42;56;138,7;1.319,90;72,2;198,04;98,39;99,65;;;;;;;
42;58;123,1;1.171,70;71,6;199,94;99,57;100,37;;;;;;;
42;60;105,8;1.006,80;70,8;201,91;100,8;101,11;;;;;;;
42;62;85,9;817,2;69,3;204;102,12;101,88;;;;;;;
42;64;61,5;585,1;66,5;206,36;103,67;102,69;;;;;;;
42;66;22,4;212,7;52,9;209,88;106,48;103,4;;;;;;;
42;68;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;;;;;;;
42;70;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;Sem resultado;;;;;;;
43;10;360,8;3.433,10;75,4;155,33;69,96;85,37;;;;;;;
43;12;353,8;3.366,20;75,3;157,67;71,73;85,94;;;;;;;
43;14;347,6;3.307,40;75,3;159,67;73,24;86,43;;;;;;;
43;16;341,9;3.253,10;75,3;161,48;74,6;86,88;;;;;;;
43;18;336,1;3.198,30;75,2;163,26;75,93;87,33;;;;;;;
43;20;330,5;3.144,30;75,2;164,97;77,2;87,77;;;;;;;
43;22;323,6;3.078,60;75,1;166,99;78,69;88,3;;;;;;;
43;24;316,4;3.010,40;75,1;169,02;80,17;88,85;;;;;;;
43;26;309;2.940,10;75;171,04;81,64;89,4;;;;;;;
43;28;301,6;2.869,20;75;173;83,05;89,95;;;;;;;
43;30;294;2.797,70;74,9;174,91;84,41;90,5;;;;;;;
43;32;286,1;2.722,40;74,8;176,84;85,79;91,05;;;;;;;
43;34;278;2.645,00;74,7;178,76;87,14;91,62;;;;;;;
43;36;269,8;2.567,10;74,7;180,61;88,44;92,17;;;;;;;
43;38;261,4;2.487,30;74,6;182,44;89,71;92,73;;;;;;;
43;40;252,8;2.405,20;74,5;184,26;90,97;93,29;;;;;;;
43;42;243,9;2.320,70;74,4;186,08;92,22;93,86;;;;;;;
43;44;234,7;2.233,30;74,3;187,88;93,45;94,43;;;;;;;
43;46;225,2;2.142,90;74,1;189,68;94,67;95,01;;;;;;;
43;48;215,4;2.049,00;74;191,48;95,88;95,6;;;;;;;
43;50;205;1.951,00;73,8;193,28;97,08;96,2;;;;;;;
43;52;194,3;1.848,50;73,6;195,07;98,27;96,8;;;;;;;
43;54;182,9;1.740,50;73,4;196,87;99,44;97,43;;;;;;;
43;56;170,9;1.626,40;73,2;198,67;100,61;98,06;;;;;;;
43;58;158,1;1.504,70;72,8;200,49;101,77;98,72;;;;;;;
43;60;144,4;1.373,90;72,4;202,32;102,94;99,38;;;;;;;
43;62;129,6;1.233,00;71,9;204,19;104,11;100,08;;;;;;;
43;64;113,3;1.078,00;71,2;206,1;105,31;100,79;;;;;;;
43;66;95;904;70;208,11;106,57;101,54;;;;;;;
43;68;73,6;700,3;68,1;210,28;107,97;102,31;;;;;;;
43;70;45,9;436,9;63,4;212,88;109,78;103,1;;;;;;;
44;10;373,7;3.555,50;75,5;156,42;72,11;84,31;;;;;;;
44;12;367,1;3.492,80;75,4;158,7;73,84;84,86;;;;;;;
44;14;361,5;3.439,70;75,4;160,59;75,27;85,32;;;;;;;
44;16;356,1;3.388,00;75,4;162,38;76,63;85,75;;;;;;;
44;18;350,6;3.336,00;75,3;164,15;77,96;86,19;;;;;;;
44;20;345,2;3.284,40;75,3;165,86;79,24;86,62;;;;;;;
44;22;338,6;3.221,30;75,2;167,91;80,77;87,14;;;;;;;
44;24;331,8;3.157,00;75,2;169,94;82,27;87,67;;;;;;;
44;26;324,8;3.090,80;75,1;171,95;83,75;88,2;;;;;;;
44;28;317,9;3.024,40;75,1;173,91;85,17;88,74;;;;;;;
44;30;310,8;2.957,40;75;175,82;86,55;89,27;;;;;;;
44;32;303,4;2.887,20;75;177,75;87,94;89,81;;;;;;;
44;34;295,9;2.815,10;74,9;179,66;89,3;90,36;;;;;;;
44;36;288,3;2.743,00;74,8;181,52;90,61;90,91;;;;;;;
44;38;280,5;2.669,30;74,8;183,34;91,9;91,44;;;;;;;
44;40;272,6;2.593,40;74,7;185,16;93,17;91,99;;;;;;;
44;42;264,4;2.515,30;74,6;186,96;94,43;92,53;;;;;;;
44;44;255,9;2.434,90;74,5;188,76;95,67;93,09;;;;;;;
44;46;247,2;2.352,20;74,4;190,55;96,9;93,65;;;;;;;
44;48;238,2;2.266,90;74,3;192,34;98,12;94,22;;;;;;;
44;50;229;2.178,50;74,2;194,12;99,34;94,78;;;;;;;
44;52;219,3;2.086,90;74,1;195,9;100,53;95,37;;;;;;;
44;54;209,3;1.991,60;73,9;197,67;101,72;95,95;;;;;;;
44;56;198,8;1.891,80;73,7;199,45;102,9;96,55;;;;;;;
44;58;187,8;1.787,20;73,5;201,23;104,06;97,17;;;;;;;
44;60;176,2;1.676,80;73,3;203,01;105,22;97,79;;;;;;;
44;62;163,9;1.559,70;73;204,8;106,38;98,42;;;;;;;
44;64;150,8;1.435,00;72,6;206,61;107,53;99,08;;;;;;;
44;66;136,7;1.300,40;72,2;208,44;108,69;99,75;;;;;;;
44;68;121,4;1.154,80;71,6;210,31;109,87;100,44;;;;;;;
44;70;104,4;993,8;70,7;212,25;111,09;101,16;;;;;;;
45;10;386,4;3.676,60;75,5;157,54;74,29;83,25;;;;;;;
45;12;380,6;3.621,70;75,5;159,61;75,87;83,74;;;;;;;
45;14;375,3;3.570,90;75,5;161,49;77,31;84,18;;;;;;;
45;16;370,1;3.521,30;75,4;163,29;78,67;84,62;;;;;;;
45;18;364,9;3.472,00;75,4;165,04;80;85,04;;;;;;;
45;20;359,7;3.422,40;75,4;166,76;81,3;85,46;;;;;;;
45;22;353,2;3.360,90;75,3;168,85;82,87;85,98;;;;;;;
45;24;346,8;3.299,60;75,3;170,87;84,39;86,48;;;;;;;
45;26;340,2;3.237,10;75,2;172,89;85,88;87,01;;;;;;;
45;28;333,7;3.175,30;75,2;174,82;87,3;87,52;;;;;;;
45;30;327;3.111,60;75,2;176,75;88,71;88,04;;;;;;;
45;32;320,1;3.045,70;75,1;178,69;90,12;88,57;;;;;;;
45;34;313;2.978,30;75,1;180,6;91,5;89,1;;;;;;;
45;36;305,9;2.911,00;75;182,45;92,82;89,63;;;;;;;
45;38;298,7;2.842,30;74,9;184,28;94,12;90,16;;;;;;;
45;40;291,3;2.771,90;74,9;186,09;95,4;90,69;;;;;;;
45;42;283,7;2.699,70;74,8;187,89;96,67;91,22;;;;;;;
45;44;275,9;2.625,40;74,7;189,68;97,92;91,76;;;;;;;
45;46;267,9;2.548,90;74,7;191,47;99,16;92,31;;;;;;;
45;48;259,6;2.470,40;74,6;193,24;100,4;92,84;;;;;;;
45;50;251,1;2.389,50;74,5;195,01;101,62;93,39;;;;;;;
45;52;242,4;2.306,20;74,4;196,78;102,83;93,95;;;;;;;
45;54;233,3;2.219,90;74,2;198,54;104,03;94,51;;;;;;;
45;56;223,9;2.130,70;74,1;200,3;105,22;95,08;;;;;;;
45;58;214,2;2.037,90;74;202,06;106,39;95,67;;;;;;;
45;60;204;1.941,10;73,8;203,82;107,56;96,26;;;;;;;
45;62;193,4;1.839,80;73,6;205,58;108,72;96,86;;;;;;;
45;64;182,2;1.733,20;73,4;207,35;109,88;97,47;;;;;;;
45;66;170,3;1.620,80;73,1;209,12;111,02;98,1;;;;;;;
45;68;157,8;1.501,20;72,8;210,9;112,17;98,73;;;;;;;
45;70;144,3;1.373,20;72,4;212,71;113,32;99,39;;;;;;;
46;10;399;3.796,70;75,6;158,68;76,5;82,18;;;;;;;
46;12;394;3.748,40;75,6;160,57;77,96;82,61;;;;;;;
46;14;388,8;3.699,70;75,6;162,44;79,39;83,05;;;;;;;
46;16;383,9;3.652,80;75,5;164,2;80,74;83,46;;;;;;;
46;18;378,9;3.605,10;75,5;165,97;82,09;83,88;;;;;;;
46;20;373,8;3.556,70;75,5;167,73;83,42;84,31;;;;;;;
46;22;367,6;3.497,90;75,4;169,82;85;84,82;;;;;;;
46;24;361,5;3.439,60;75,4;171,84;86,52;85,32;;;;;;;
46;26;355,2;3.380,00;75,4;173,85;88,03;85,82;;;;;;;
46;28;349,1;3.321,20;75,3;175,78;89,47;86,31;;;;;;;
46;30;342,7;3.260,90;75,3;177,71;90,9;86,81;;;;;;;
46;32;336,2;3.198,90;75,2;179,64;92,32;87,32;;;;;;;
46;34;329,5;3.135,50;75,2;181,56;93,71;87,85;;;;;;;
46;36;322,9;3.072,40;75,1;183,41;95,05;88,36;;;;;;;
46;38;316,2;3.008,20;75,1;185,23;96,37;88,86;;;;;;;
46;40;309,2;2.942,40;75;187,05;97,66;89,39;;;;;;;
46;42;302,2;2.875,00;75;188,85;98,94;89,91;;;;;;;
46;44;294,9;2.806,00;74,9;190,64;100,21;90,43;;;;;;;
46;46;287,5;2.735,20;74,8;192,42;101,46;90,96;;;;;;;
46;48;279,8;2.662,60;74,8;194,19;102,69;91,5;;;;;;;
46;50;272;2.587,80;74,7;195,95;103,93;92,02;;;;;;;
46;52;263,9;2.511,00;74,6;197,71;105,15;92,56;;;;;;;
46;54;255,6;2.432,00;74,5;199,47;106,36;93,11;;;;;;;
46;56;247,1;2.350,70;74,4;201,22;107,56;93,66;;;;;;;
46;58;238,2;2.266,70;74,3;202,96;108,75;94,21;;;;;;;
46;60;229,1;2.179,70;74,2;204,71;109,93;94,78;;;;;;;
46;62;219,6;2.089,60;74,1;206,45;111,11;95,34;;;;;;;
46;64;209,8;1.995,80;73,9;208,19;112,27;95,92;;;;;;;
46;66;199,4;1.897,70;73,7;209,94;113,42;96,52;;;;;;;
46;68;188,7;1.795,00;73,5;211,69;114,57;97,12;;;;;;;
46;70;177,3;1.686,80;73,3;213,44;115,71;97,73;;;;;;;
47;10;412,1;3.920,60;75,7;159,64;78,61;81,03;;;;;;;
47;12;407,1;3.873,50;75,7;161,55;80,08;81,47;;;;;;;
47;14;402,3;3.827,30;75,6;163,39;81,49;81,9;;;;;;;
47;16;397,5;3.781,70;75,6;165,17;82,86;82,31;;;;;;;
47;18;392,7;3.736,90;75,6;166,9;84,18;82,72;;;;;;;
47;20;387,7;3.688,50;75,6;168,73;85,58;83,15;;;;;;;
47;22;381,8;3.632,40;75,5;170,81;87,16;83,65;;;;;;;
47;24;375,9;3.576,70;75,5;172,82;88,69;84,13;;;;;;;
47;26;369,9;3.519,80;75,4;174,83;90,21;84,62;;;;;;;
47;28;364,1;3.464,00;75,4;176,76;91,66;85,1;;;;;;;
47;30;358;3.406,60;75,4;178,69;93,1;85,59;;;;;;;
47;32;351,8;3.347,70;75,3;180,63;94,54;86,09;;;;;;;
47;34;345,6;3.288,70;75,3;182,51;95,93;86,58;;;;;;;
47;36;339,3;3.228,30;75,2;184,39;97,31;87,08;;;;;;;
47;38;332,9;3.167,90;75,2;186,21;98,63;87,58;;;;;;;
47;40;326,5;3.106,20;75,1;188,03;99,95;88,08;;;;;;;
47;42;319,8;3.043,20;75,1;189,83;101,24;88,59;;;;;;;
47;44;313,1;2.978,60;75,1;191,62;102,52;89,1;;;;;;;
47;46;306,1;2.912,60;75;193,4;103,78;89,62;;;;;;;
47;48;299;2.844,90;74,9;195,17;105,03;90,14;;;;;;;
47;50;291,7;2.775,60;74,9;196,93;106,27;90,66;;;;;;;
47;52;284,2;2.704,50;74,8;198,68;107,5;91,18;;;;;;;
47;54;276,6;2.631,50;74,7;200,43;108,71;91,72;;;;;;;
47;56;268,7;2.556,50;74,7;202,17;109,93;92,24;;;;;;;
47;58;260,6;2.479,40;74,6;203,91;111,13;92,78;;;;;;;
47;60;252,2;2.400,00;74,5;205,65;112,32;93,33;;;;;;;
47;62;243,6;2.318,20;74,4;207,38;113,51;93,87;;;;;;;
47;64;234,8;2.233,60;74,3;209,11;114,69;94,42;;;;;;;
47;66;225,5;2.146,00;74,1;210,84;115,85;94,99;;;;;;;
47;68;216;2.055,10;74;212,57;117,01;95,56;;;;;;;
47;70;206;1.960,30;73,8;214,3;118,17;96,13;;;;;;;
48;10;424,9;4.043,10;75,8;160,64;80,75;79,89;;;;;;;
48;12;420,1;3.997,60;75,7;162,54;82,22;80,32;;;;;;;
48;14;415,5;3.953,80;75,7;164,35;83,62;80,73;;;;;;;
48;16;410,9;3.909,80;75,7;166,13;84,99;81,14;;;;;;;
48;18;406,3;3.866,10;75,7;167,88;86,34;81,54;;;;;;;
48;20;401,3;3.818,40;75,6;169,75;87,77;81,98;;;;;;;
48;22;395,7;3.764,70;75,6;171,82;89,36;82,46;;;;;;;
48;24;390,1;3.711,30;75,6;173,83;90,89;82,94;;;;;;;
48;26;384,3;3.656,90;75,5;175,84;92,42;83,42;;;;;;;
48;28;378,7;3.603,60;75,5;177,77;93,87;83,9;;;;;;;
48;30;373;3.549,00;75,5;179,7;95,33;84,37;;;;;;;
48;32;367,1;3.493,00;75,4;181,63;96,77;84,86;;;;;;;
48;34;361,2;3.437,10;75,4;183,51;98,18;85,33;;;;;;;
48;36;355,2;3.379,70;75,4;185,39;99,57;85,82;;;;;;;
48;38;349,2;3.322,50;75,3;187,22;100,92;86,3;;;;;;;
48;40;343,1;3.264,30;75,3;189,03;102,25;86,78;;;;;;;
48;42;336,8;3.205,00;75,2;190,83;103,56;87,27;;;;;;;
48;44;330,5;3.144,40;75,2;192,62;104,85;87,77;;;;;;;
48;46;324;3.082,60;75,1;194,4;106,13;88,27;;;;;;;
48;48;317,3;3.019,30;75,1;196,17;107,39;88,78;;;;;;;
48;50;310,5;2.954,50;75;197,93;108,64;89,29;;;;;;;
48;52;303,6;2.888,30;75;199,68;109,88;89,8;;;;;;;
48;54;296,4;2.820,40;74,9;201,43;111,11;90,32;;;;;;;
48;56;289,1;2.750,80;74,9;203,17;112,33;90,84;;;;;;;
48;58;281,6;2.679,60;74,8;204,91;113,53;91,38;;;;;;;
48;60;273,9;2.606,40;74,7;206,64;114,74;91,9;;;;;;;
48;62;266;2.531,10;74,6;208,36;115,93;92,43;;;;;;;
48;64;257,9;2.453,70;74,5;210,08;117,12;92,96;;;;;;;
48;66;249,5;2.374,10;74,5;211,8;118,3;93,5;;;;;;;
48;68;240,9;2.291,90;74,3;213,52;119,48;94,04;;;;;;;
48;70;231,9;2.206,90;74,2;215,24;120,64;94,6;;;;;;;
49;10;437,7;4.164,20;75,8;161,66;82,93;78,73;;;;;;;
49;12;433,1;4.121,00;75,8;163,53;84,39;79,14;;;;;;;
49;14;428,6;4.078,10;75,8;165,36;85,8;79,56;;;;;;;
49;16;424,2;4.035,90;75,8;167,13;87,18;79,95;;;;;;;
49;18;419,8;3.994,50;75,7;168,85;88,5;80,35;;;;;;;
